Gender	Alcohol	Attractiveness
Female	Placebo	65
Female	Placebo	70
Female	Placebo	60
Female	Placebo	60
Female	Placebo	60
Female	Placebo	55
Female	Placebo	60
Female	Placebo	55
Male	Placebo	50
Male	Placebo	55
Male	Placebo	80
Male	Placebo	65
Male	Placebo	70
Male	Placebo	75
Male	Placebo	75
Male	Placebo	65
Female	TwoPints	70
Female	TwoPints	65
Female	TwoPints	60
Female	TwoPints	70
Female	TwoPints	65
Female	TwoPints	60
Female	TwoPints	60
Female	TwoPints	50
Male	TwoPints	45
Male	TwoPints	60
Male	TwoPints	85
Male	TwoPints	65
Male	TwoPints	70
Male	TwoPints	70
Male	TwoPints	80
Male	TwoPints	60
Female	FourPints	55
Female	FourPints	65
Female	FourPints	70
Female	FourPints	55
Female	FourPints	55
Female	FourPints	60
Female	FourPints	50
Female	FourPints	50
Male	FourPints	30
Male	FourPints	30
Male	FourPints	30
Male	FourPints	55
Male	FourPints	35
Male	FourPints	20
Male	FourPints	45
Male	FourPints	40
